"book","project","stretch","prosodic","momentum","sentencelength","prosaic","notissue","bigabstraction","memorize","pagecanvas","communicationvolume","contentvolume","shock","humor","sound","argument","structural","otherattributes","loose","historical","associative","variedregister","syntax","breakrules","mainpoint","meta","scan","abstractthinking","explanation","realworld","singleself","authorflag","flag0","flag1","flag2","consistent","shortline","mediumline","longline","asserts","absurd","logical","low","middle","high","coherentlinear","coherentjumping","absurdsurreal","causeeffectyes","causeeffectno"
"Letters From Robots",0,0,1,2,2,4,0,1,1,0,3,4,0,1,1,1,1,1,5,0,2,2,2,2,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
"Letters From Robots",1,1,3,4,3,3,0,1,1,0,3,3,0,1,2,0,0,1,5,0,3,2,2,3,1,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"Letters to Wendy's",1,1,1,4,4,4,0,1,1,0,5,5,1,1,1,1,1,1,1,1,2,4,3,2,0,0,0,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"Life Cycle",1,1,4,2,3,3,0,0,1,1,4,4,0,0,3,1,1,3,4,0,4,4,2,4,1,0,0,4,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"Life on Mars",1,0,4,1,1,1,0,1,1,0,2,4,1,0,4,1,0,3,5,0,2,2,3,2,1,1,0,5,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"Like Oysters Observing the Sun",1,1,3,4,4,3,0,0,0,1,3,4,0,0,3,1,1,3,4,1,4,4,4,3,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Listening to Winter",0,0,3,3,3,4,0,1,1,0,1,5,1,0,2,1,1,1,5,0,2,2,2,2,1,0,0,3,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"loose strife",0,0,3,4,4,3,0,1,0,1,4,4,1,0,2,1,1,2,4,1,3,4,4,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"Magdalene & the Mermaids",1,1,3,3,3,1,1,1,0,1,5,5,1,0,3,1,1,3,4,1,2,2,4,3,1,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Map of the Hydrogen World",0,1,4,3,2,1,1,1,1,1,3,3,1,1,4,1,0,3,5,1,4,5,4,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Maximum Gaga",1,1,3,5,3,2,1,1,0,1,5,5,1,1,4,1,0,3,5,1,3,2,5,5,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Meditations in an Emergency",1,1,2,4,3,2,1,0,0,1,3,2,0,1,2,0,1,2,5,1,4,4,4,5,1,1,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"Memling's Veil",1,0,3,5,4,4,0,1,1,0,2,2,0,0,2,1,1,3,4,0,4,3,4,2,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"Mendeleev's Mandala",0,1,4,4,3,2,0,1,1,1,2,3,0,1,4,1,0,4,3,0,2,4,4,4,0,0,0,3,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
